,name,text,label,video_path,audio_path,abusive,duration,source,source_link,date_of_collection
,non-abusive (1),"এই বড় যন্ত্রটির ভেতরে কিভাবে মানুষের ফুসফুসের স্বাভাবিক কাজকর্ম চালিয়ে রাখা হয় , তার একটি ডেমোন্সট্রেশন দেখতে পাচ্ছেন ।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (1).mp4,/kaggle/input/abusiveaud/audio/non-abusive (1).npy,"[1.0, 0.0]",6.93,Facebook,https://web.facebook.com/watch/?v=844946130151592,04/14/2024
,non-abusive (2),এই বড় যন্ত্রটিকে বলা হয় আয়রন লাং বা লোহার ফুসফুস । অনেক বছর আগে পোলিও আক্রান্ত হয়ে যখন মানুষের ফুসফুস,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (2).mp4,/kaggle/input/abusiveaud/audio/non-abusive (2).npy,"[1.0, 0.0]",6.3,Facebook,https://web.facebook.com/watch/?v=844946130151593,04/15/2024
,non-abusive (3),ঠিকমত কাজ করত না। তখন এই আয়রন লাং ব্যবহার করে তাদের শ্বাস প্রশ্বাস কে চালিয়ে রাখা হতো ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (3).mp4,/kaggle/input/abusiveaud/audio/non-abusive (3).npy,"[1.0, 0.0]",5.07,Facebook,https://web.facebook.com/watch/?v=844946130151594,04/16/2024
,non-abusive (4),এই লোকটাকে অনেকেই চিনে থাকবেন। এর নাম পল আলেকজান্ডার । ছোটবেলায় পোলিও আক্রান্ত হয়ে তাঁর শরীরের উপর,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (4).mp4,/kaggle/input/abusiveaud/audio/non-abusive (4).npy,"[1.0, 0.0]",5.13,Facebook,https://web.facebook.com/watch/?v=844946130151595,04/17/2024
,non-abusive (5),কিছু অংশ প্যারালাইজড হয়ে যায়। তারপর থেকেই শ্বাসপ্রশ্বাসের জন্য তিনি এই আয়রন লাং এর উপর নির্ভরশীল ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (5).mp4,/kaggle/input/abusiveaud/audio/non-abusive (5).npy,"[1.0, 0.0]",4.93,Facebook,https://web.facebook.com/watch/?v=844946130151596,04/18/2024
,non-abusive (6),এর ঘটনায় আমরা পরে ফেরত ধরব। তার আগে চলেন ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (6).mp4,/kaggle/input/abusiveaud/audio/non-abusive (6).npy,"[1.0, 0.0]",2.63,Facebook,https://web.facebook.com/watch/?v=844946130151597,04/19/2024
,non-abusive (7),আয়রন লাং বা লোহার ফুসফুস কিভাবে মানুষকে বাঁচিয়ে রাখে? ? আমি ছোট বেলায় ভাবতাম আমরা যখন শ্বাসপ্রশ্বাস নেই তখন আমরা আসলে নাক দিয়ে টেনে নেই বাতাসটাকে। মানে ধরেন এইখান থেকে,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (7).mp4,/kaggle/input/abusiveaud/audio/non-abusive (7).npy,"[1.0, 0.0]",10.77,Facebook,https://web.facebook.com/watch/?v=844946130151598,04/20/2024
7,non-abusive (8),নিলাম এইখান থেকে একটু নিলাম মানে?,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (8).mp4,/kaggle/input/abusiveaud/audio/non-abusive (8).npy,"[1.0, 0.0]",3.23,Facebook,https://web.facebook.com/watch/?v=844946130151599,04/21/2024
8,non-abusive (9),নাক আর মুখটাই আসলে মেইনলি টেনে নিচ্ছে বাতাস টাকে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (9).mp4,/kaggle/input/abusiveaud/audio/non-abusive (9).npy,"[1.0, 0.0]",3.13,Facebook,https://web.facebook.com/watch/?v=844946130151600,04/22/2024
9,non-abusive (10),"কিন্তু আসল ঘটনা হচ্ছে, শ্বাসপ্রশ্বাস নেওয়ার ক্ষেত্রে নাক আর মুখের সেরকম কোনো ভূমিকা নেই। এরা হচ্ছে জাস্ট লাইনিং।",non-abusive,/kaggle/input/abusivevid5/video/non-abusive (10).mp4,/kaggle/input/abusiveaud/audio/non-abusive (10).npy,"[1.0, 0.0]",5.97,Facebook,https://web.facebook.com/watch/?v=844946130151601,04/23/2024
10,non-abusive (11),যে লাইনে বাতাসটা ভেতরে প্রবেশ করে ।,non-abusive,/kaggle/input/abusivevid5/video/non-abusive (11).mp4,/kaggle/input/abusiveaud/audio/non-abusive (11).npy,"[1.0, 0.0]",1.97,Facebook,https://web.facebook.com/watch/?v=844946130151602,04/24/2024
